id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
33,493 9th Dv,pending,100438,3,3,1126,33.57287289,-112.2767096
34,752 Pine Ave,sold,202311,3,1,1532,33.3708888,-112.0391107
35,563 Mission Rd,active,197753,4,2,2143,33.37343009,-111.9448794
36,773 8th Dv,active,105572,3,1,3496,33.50791747,-112.2117919
37,742 6th Dv,pending,201973,5,2,3403,33.42508751,-112.2523096
38,529 Mission Rd,pending,255457,3,2,1398,33.45704541,-112.1345817
39,476 California Blvd,sold,292950,5,2,1986,33.42909423,-111.9700248
40,236 Mission Vis,sold,287081,4,1,3154,33.38382661,-111.9676743
41,641 Pine Dv,sold,164764,4,2,2667,33.41835531,-111.9836315
42,598 8th Rd,pending,151319,5,2,1509,33.46983455,-112.0662379
43,32 5th Trl,sold,293280,4,1,3382,33.57153722,-112.1897529
44,138 Bush Way,sold,141253,4,3,2954,33.58970582,-112.0300744
45,68 Pine Dv,sold,120846,4,3,3957,33.38482922,-112.0835091
46,714 4th Vis,pending,279179,3,1,2809,33.38250802,-112.3124059
47,535 6th Ave,pending,220266,4,2,3590,33.49618469,-112.2421929
48,468 2nd Way,sold,290705,2,3,1927,33.3685074,-112.3051938
49,420 9th Ave,pending,219721,2,1,2581,33.46029467,-112.090039
50,749 Turk Vis,sold,253931,2,3,1324,33.55179272,-111.897396
51,715 Texas St,active,246227,3,3,2910,33.57125175,-112.2025658
52,405 6th Vis,pending,214894,2,3,3039,33.52941364,-112.3211251
53,175 8th Pl,pending,259600,2,3,3632,33.54767696,-111.9984123
54,748 Mission Blvd,active,298927,3,3,3570,33.57782589,-112.3108766
55,187 Wall Wl,active,121049,3,1,3920,33.52101593,-111.8823968
56,309 1st Dv,active,285658,5,1,2796,33.38257604,-112.0203291
57,453 Post Blvd,pending,158419,2,3,2452,33.41929363,-111.9225393
58,343 Texas Trl,active,126048,5,3,3346,33.52238503,-112.1090472
59,552 Sutter Ave,active,165286,5,3,1351,33.52421017,-112.135109
60,346 Geary Vis,sold,209676,2,1,1436,33.47754227,-112.2421357
61,302 Geary Dv,active,154622,3,3,3387,33.5662053,-111.9636111
62,331 Euclid Cir,sold,211172,5,3,2835,33.54703014,-111.9781428
63,365 Indiana Way,active,104488,5,2,1061,33.46227325,-112.1898364
64,538 Turk Way,active,222301,4,2,1793,33.46263601,-112.0684547
65,633 Blake Trl,sold,133379,4,3,2557,33.38317419,-112.3098517
66,16 7th Ave,sold,109985,4,3,3276,33.50180478,-112.1231235
67,674 Sutter St,pending,106264,4,3,1157,33.54753896,-112.0831043
68,223 5th St,active,275961,2,1,1374,33.40146744,-112.3245408
69,79 1st Way,sold,202974,3,1,3996,33.52874186,-111.9279329
70,271 4th Vis,active,106878,4,3,3491,33.40523699,-112.1639183
71,491 Euclid Pl,sold,225123,5,3,2976,33.48976482,-111.9594673
72,733 Euclid Trl,pending,250526,5,2,1091,33.57402638,-112.3248267
73,313 6th Dv,sold,250005,5,3,2928,33.55971855,-112.1700437
74,453 California Trl,pending,157379,5,1,2723,33.36365036,-111.89668
75,367 Wall Dv,sold,261112,3,2,3655,33.5099405,-111.9937278
76,412 Sutter Way,sold,282987,2,3,1233,33.42359973,-111.9898266
77,333 7th Ave,sold,240863,4,1,3461,33.57847653,-112.2420559
78,118 Pine Cir,pending,197138,3,3,3255,33.41228311,-112.294212
79,352 Bush Vis,active,167658,5,2,2137,33.46009906,-112.0859817
80,627 Blake Wl,sold,298429,3,3,3901,33.50191198,-111.8733694
81,660 Indiana Pl,sold,140130,3,2,1377,33.56987546,-112.324751
82,45 Bush Blvd,sold,134823,2,1,3320,33.4400319,-112.250772
83,391 Euclid Dv,sold,226564,4,1,3354,33.56716078,-112.0735814
84,98 5th Vis,sold,171040,2,3,3742,33.43331849,-112.1149401
85,566 Walnut Ave,pending,157020,2,2,3145,33.56874003,-112.1581798
86,691 Bush Rd,active,281062,4,2,2839,33.3649009,-111.9530055
87,527 Geary Dv,pending,164593,5,3,3027,33.58736347,-111.9146412
88,91 1st Vis,pending,155682,5,3,1939,33.59118623,-111.8959532
89,477 3rd Ave,pending,165602,3,1,3879,33.49650554,-112.2356671
90,509 Euclid Rd,active,143501,2,3,2839,33.37431864,-111.9971547
91,160 8th Rd,pending,190868,5,3,1753,33.44810529,-112.3603283
92,197 4th Dv,sold,160381,5,1,2834,33.58009108,-112.1680006
93,190 5th Blvd,pending,123523,3,3,3014,33.37276846,-111.9223959
94,533 9th Blvd,sold,145814,2,3,2840,33.38259674,-112.3574205
95,221 Sutter St,pending,176241,4,1,2491,33.56088799,-112.327619
96,431 Euclid Vis,pending,123776,4,2,3794,33.37794479,-111.8766961
97,697 Post Blvd,pending,134839,3,1,3694,33.58659065,-112.0000946
98,159 1st Blvd,active,129860,5,2,2077,33.41825717,-112.3501388
99,537 1st Vis,active,255446,3,2,2955,33.40253438,-111.9353954
100,498 Wall Rd,sold,236091,4,3,1096,33.48253351,-112.2892544
101,193 Post Trl,active,115507,2,2,2704,33.36746588,-111.880972
102,507 California Dv,sold,117966,5,2,1538,33.37937732,-112.2014671
103,336 Euclid Rd,pending,182657,4,3,2762,33.42068401,-111.8958759
104,658 Wall Cir,pending,189606,5,1,3482,33.5595519,-111.9417183
105,394 7th Blvd,sold,111413,4,2,2556,33.51706234,-111.9705569
106,262 Bush Blvd,active,245249,4,1,2215,33.52005625,-112.1012759
107,150 Blake Trl,active,142004,5,1,3435,33.47463546,-112.0431685
108,766 Page Wl,sold,152609,5,3,1734,33.51527161,-112.0279171
109,88 1st Ave,active,136199,2,1,2772,33.52862069,-111.9589634
110,678 Walnut St,pending,113804,2,1,3085,33.50661158,-112.2895372
111,356 9th Ave,sold,124761,2,2,3422,33.37885709,-112.2015518
112,640 Geary Blvd,pending,147754,4,2,3842,33.48737109,-112.061924
113,329 Walnut Trl,pending,149247,5,2,2455,33.41799752,-112.115734
114,747 Indiana Dv,pending,112579,5,2,3858,33.48181841,-112.0942179
115,308 Mission Rd,sold,133095,4,3,2810,33.41014384,-111.9131009
116,227 8th Wl,pending,200878,4,2,2520,33.45041044,-111.903588
117,279 Wall Wl,active,159411,3,2,3299,33.37614239,-112.2457328
118,301 Post Cir,pending,107737,4,3,3898,33.48361793,-111.8843597
119,247 Geary Cir,sold,226018,5,1,2153,33.37404828,-112.137996
120,156 Wall Trl,sold,121252,4,2,2846,33.57389484,-112.2960306
121,381 Euclid Rd,active,130393,3,2,1986,33.46328167,-112.1074058
122,72 Franklin Cir,sold,130404,3,2,3156,33.47593082,-112.0691217
123,59 8th Cir,pending,211737,2,1,2568,33.36365616,-112.3338465
124,627 Post Blvd,active,170895,5,1,2686,33.48800491,-112.1360936
125,415 Texas Ave,sold,188369,5,3,2616,33.52380051,-111.877884
126,520 Franklin Blvd,pending,255437,3,2,1990,33.36577177,-111.9834003
127,568 1st Pl,sold,184126,3,2,2970,33.36992246,-111.9849472
128,440 1st Vis,active,273860,5,2,1237,33.45376532,-112.0360424
129,344 California Wl,sold,161779,2,2,3418,33.49078497,-112.0187036
130,573 2nd Trl,sold,201939,3,3,1643,33.47151566,-112.1178214
131,116 Geary Ave,active,217635,5,1,3343,33.41810421,-111.9260434
132,282 1st Vis,active,205733,5,1,2309,33.51458366,-112.127104
133,68 4th Vis,pending,154606,4,2,2974,33.48284557,-112.043376
134,20 Geary Dv,active,103164,5,1,3882,33.51748136,-111.9042446
135,535 Mission Ave,sold,287122,4,1,1355,33.53704948,-112.342021
136,792 3rd St,sold,111213,4,1,3890,33.53707463,-112.3580393
137,645 Wall St,sold,239447,4,2,3466,33.55606413,-112.251982
138,772 Bush Pl,pending,273207,2,2,2708,33.58840603,-112.2668318
139,32 Texas Vis,sold,201423,5,2,1987,33.49077555,-111.929817
140,490 Post Blvd,pending,158228,3,3,2943,33.5757287,-112.3101323
141,795 8th St,pending,197944,4,3,1042,33.42778883,-112.2957968
142,387 Sutter Wl,pending,227560,5,3,2943,33.54825267,-111.9845717
143,23 4th Rd,sold,193870,2,2,2456,33.51050558,-112.338766
144,435 Sutter Vis,active,138683,3,2,1540,33.41560502,-111.9386166
145,756 3rd St,pending,190809,3,2,2610,33.5580936,-112.1419515
146,87 9th Way,pending,240698,4,1,1808,33.5796123,-112.0318241
147,278 5th Vis,pending,261738,3,1,1613,33.43348011,-112.1409856
148,516 Sutter Blvd,sold,263527,2,1,2772,33.43255623,-112.0904432
149,287 9th Rd,pending,209731,4,1,3581,33.5014569,-112.0521399
150,599 Wall Vis,active,225617,4,2,1828,33.43482023,-112.287594
151,791 Mission Blvd,sold,100870,3,3,3520,33.57438579,-112.1969186
152,330 Texas Pl,sold,112173,5,2,2948,33.41964435,-111.9605642
153,489 Franklin Vis,pending,153772,4,2,3154,33.42029109,-111.9692566
154,477 2nd Vis,active,202191,5,2,1228,33.51269632,-112.2418397
155,324 6th Way,pending,133146,3,2,2740,33.4606644,-111.8729767
156,518 Franklin Vis,pending,120532,4,1,3910,33.49697586,-112.303932
157,729 Sutter Dv,sold,297369,3,3,3290,33.46977777,-111.8902423
158,546 Texas St,sold,131573,3,3,2322,33.47747453,-112.2751788
159,301 Pine Rd,active,167529,5,1,2051,33.56644181,-111.9557855
160,473 Page Blvd,active,214632,2,2,2772,33.38234358,-112.2090803
161,720 Blake Blvd,sold,219028,2,1,2260,33.461022,-112.1475955
162,228 Blake Way,active,288598,3,1,2743,33.59059989,-112.1841454
163,219 6th Rd,active,111873,3,2,1016,33.42445405,-112.2971486
164,520 Walnut Blvd,active,297787,3,1,3836,33.44267644,-111.8908346
165,610 Wall Vis,pending,292647,2,2,1139,33.44088962,-112.183604
166,367 8th Pl,pending,285610,4,2,2348,33.41164254,-111.8847402
167,345 Wall Blvd,pending,168475,4,3,3958,33.52862948,-112.0185979
168,686 Sutter Rd,active,241985,4,3,2491,33.46636798,-112.25251
169,316 Pine Trl,sold,226777,2,2,3618,33.55024324,-111.9264018
170,20 Sutter Way,pending,173900,2,2,3573,33.44207664,-112.1205155
171,97 4th Trl,sold,177554,4,3,3606,33.38696087,-112.0698055
172,612 Franklin Ave,pending,164113,4,1,1637,33.36675912,-112.2289098
173,479 5th St,active,194164,4,1,1947,33.45384324,-112.0489266
174,140 4th Pl,active,251858,2,2,3258,33.4304878,-112.181235
175,310 Euclid Wl,active,108681,5,2,1374,33.53997404,-112.1115393
176,697 Page Pl,pending,274550,2,3,1331,33.57878192,-112.0793803
177,111 Walnut Vis,active,111979,2,3,3370,33.54599056,-111.8936696
178,482 Franklin Rd,sold,253193,3,3,1485,33.46634063,-112.2641059
179,713 Indiana Cir,active,267604,5,3,1279,33.45055972,-111.9390276
180,757 Page St,sold,255224,2,3,3654,33.55995087,-112.3019373
181,362 6th Wl,active,215108,3,3,2293,33.47928069,-112.0508649
182,656 Wall Rd,active,272180,2,2,2100,33.56346985,-112.3354932
183,557 Indiana Blvd,active,124217,4,3,3108,33.42887899,-112.0757774
184,689 9th Ave,sold,252891,2,1,1737,33.41510115,-112.1581577
185,299 Post Trl,active,128866,2,1,3070,33.48859359,-112.3343771
186,722 Geary Wl,pending,105376,2,2,3504,33.48463059,-112.0035044
187,657 California Way,pending,266078,3,1,3867,33.53962592,-112.1006788
188,542 Page Vis,sold,260550,2,3,3296,33.43274988,-112.2355888
189,518 1st Vis,pending,128241,4,2,3860,33.44543207,-112.2576187
190,78 Walnut Trl,active,297135,5,1,1531,33.41377657,-112.2347108
191,419 Wall Ave,active,200806,3,1,1433,33.5089488,-112.3017285
192,622 Franklin Trl,active,249789,2,2,3805,33.38748383,-111.994932
193,706 Indiana Cir,active,108343,4,3,1981,33.4590241,-111.8801922
194,550 8th Trl,active,177067,4,1,2575,33.43562397,-112.0492153
195,666 1st Blvd,active,271252,5,1,1585,33.47893352,-112.1218579
196,283 Bush Dv,pending,292556,3,2,3401,33.5062732,-112.262966
197,751 Post Blvd,sold,171197,5,3,3072,33.52978403,-112.2049136
198,24 Franklin Cir,pending,161177,4,1,3100,33.37658126,-112.1139911
199,538 Wall Trl,pending,214099,2,1,1599,33.56713479,-112.3451227
200,332 Sutter Ave,sold,215619,5,2,3464,33.36526649,-112.3164196
201,798 Bush Wl,active,244235,3,1,2293,33.38631706,-112.3180653
202,764 Euclid Ave,pending,111423,4,2,2999,33.37991188,-111.9078711
203,222 Pine Way,pending,149793,5,3,2811,33.4889201,-112.1600286
204,607 Pine Pl,sold,133128,3,2,1467,33.42493601,-111.8803002
205,513 Indiana Ave,sold,238709,2,3,2000,33.39215711,-112.2394739
206,715 Post Blvd,active,279288,5,2,1459,33.56395853,-112.2720318
207,246 1st Ave,active,160302,4,3,1666,33.38024517,-111.9419661
208,759 Pine Cir,active,280464,3,1,1961,33.5784483,-112.1644924
209,50 Bush Way,active,199318,4,2,3618,33.37637507,-112.059966
210,634 Pine Pl,active,121187,2,3,3433,33.4793649,-112.2515022
211,663 Mission Rd,sold,282671,5,2,1876,33.44911903,-112.0806646
212,616 9th Cir,sold,131863,4,2,3516,33.40004823,-112.2031743
213,217 Franklin Way,active,242900,5,2,2046,33.44999206,-112.2828882
214,243 Bush Pl,sold,101303,4,2,1803,33.46693597,-112.086645
215,280 Turk Blvd,pending,243946,3,1,1815,33.54250724,-112.1204113
216,366 7th Rd,active,143236,5,2,1584,33.56698378,-112.0212507
217,638 6th Wl,active,205646,3,1,2955,33.37714521,-112.3140092
218,525 Bush Pl,pending,100409,4,2,2651,33.5434906,-112.2158173
219,423 3rd Way,active,210611,5,3,3446,33.44778962,-112.0772864
220,386 9th Vis,pending,131931,4,2,1244,33.5106579,-112.2321774
221,772 Euclid Vis,pending,217261,2,2,2663,33.38183988,-112.322105
222,222 6th Blvd,pending,267285,5,1,1626,33.44548947,-112.0586897
223,449 Page Pl,sold,183723,3,1,1652,33.57915429,-112.2548878
224,798 4th Rd,active,153551,5,2,2900,33.37213361,-112.0018235
225,317 6th Way,active,263883,3,2,3216,33.54257628,-112.2150888
226,586 1st St,active,183648,2,1,2397,33.39184923,-112.1072499
227,446 Wall Vis,active,174339,3,2,2407,33.50881262,-112.262206
228,446 7th Dv,active,145341,2,2,3058,33.38615742,-112.1501795
229,237 Franklin Blvd,sold,162975,5,2,1273,33.41249253,-111.8850676
230,452 Wall Way,active,218974,2,3,1931,33.53441318,-112.165263
231,203 6th Cir,pending,185442,2,1,3793,33.49823558,-112.0619819
232,13 6th Cir,pending,265834,4,2,1459,33.50227647,-112.1445777
233,753 7th Ave,sold,106052,5,1,3340,33.48494913,-112.1934111
234,719 Mission Ave,sold,239290,5,1,3698,33.47187089,-112.0959047
235,678 Page Cir,active,173783,3,3,1530,33.45757586,-112.2277773
236,533 8th Trl,pending,271405,2,3,1395,33.58940118,-112.0500577
237,204 Bush Ave,active,285586,4,2,1005,33.48678576,-112.202114
238,569 Texas Wl,active,113396,3,2,3434,33.4667672,-112.153484
239,207 Sutter Trl,sold,237667,2,1,2397,33.42899501,-111.9001403
240,219 Sutter Blvd,pending,233364,5,1,3417,33.56950084,-111.9487254
241,602 Texas Way,sold,204942,5,2,1205,33.36503966,-112.0563147
242,332 6th Pl,sold,108827,4,1,2030,33.4030173,-111.9546889
243,91 2nd Pl,sold,273984,4,2,2497,33.52410572,-112.0189816
244,50 6th Cir,pending,157030,3,3,1363,33.500642,-112.2955959
245,507 1st Blvd,active,210091,4,3,2140,33.51986115,-112.3102663
246,735 2nd Ave,pending,156832,5,3,1507,33.46205268,-112.008978
247,534 Geary Blvd,pending,209458,4,1,2427,33.40926828,-112.3422962
248,97 Geary Rd,sold,284116,5,3,3412,33.58478574,-112.140314
249,399 5th Pl,pending,286411,4,2,1198,33.48256224,-111.9090554
250,657 5th Vis,pending,197464,2,1,3069,33.4368067,-112.1326967
251,630 Wall Vis,active,295283,4,3,2426,33.50142955,-112.0399535
252,22 Page Ave,active,204487,4,1,1883,33.457067,-112.279633
253,567 Indiana Cir,active,103498,5,3,3338,33.53756963,-112.288701
254,104 2nd Ave,pending,144675,3,1,1374,33.40519306,-112.3508435
255,336 Texas Trl,active,173196,4,1,1794,33.5616586,-112.3413908
256,494 Turk Dv,pending,285035,5,1,3295,33.42665479,-112.1284551
257,389 Walnut Ave,active,140008,5,2,1977,33.42448128,-111.9579688
258,183 Sutter Pl,pending,104631,3,1,2155,33.43744757,-112.3171453
259,573 5th Blvd,active,152367,5,3,2895,33.41691357,-111.9163157
260,497 Turk Ave,pending,269121,2,2,2898,33.36778449,-112.2965893
261,663 Euclid Rd,active,209111,2,2,1522,33.48123045,-112.0499495
262,699 2nd Dv,active,293866,2,2,3371,33.57421874,-112.2195831
263,266 Post Ave,pending,159048,4,3,3350,33.57947485,-112.0211588
264,650 2nd Pl,sold,144257,2,1,3661,33.54640129,-112.0784744
265,110 Euclid St,active,183073,4,2,3568,33.45034413,-112.0521936
266,145 Texas St,sold,246428,4,3,1700,33.37171329,-112.0264299
267,252 Mission St,active,236465,2,3,2547,33.46214763,-112.2207206
268,666 Post Trl,sold,127439,5,2,1894,33.41488379,-112.3307287
269,731 Page Blvd,pending,278154,3,1,3807,33.46172236,-112.2994208
270,281 Geary Vis,active,249791,3,3,2140,33.37480507,-112.0989796
271,391 Wall Wl,pending,233199,4,3,2815,33.40301146,-111.8826361
272,623 Blake St,active,160855,3,3,2306,33.50275595,-112.2456094
273,652 Texas Way,pending,136981,3,3,1715,33.59133573,-112.0520385
274,746 Texas St,pending,209883,3,3,3062,33.58323878,-112.1265275
275,21 Bush Way,pending,209467,4,1,1398,33.50256635,-112.0556791
276,561 Blake Way,active,111414,2,3,2717,33.54295058,-112.0963025
277,667 9th Ave,sold,147888,2,2,2390,33.42898248,-111.929483
278,460 Page Vis,sold,119294,5,3,3047,33.44746617,-112.0532103
279,359 California Dv,sold,272462,4,2,3400,33.51698416,-112.1597351
280,15 4th Wl,active,264710,4,2,2837,33.42565701,-112.0993272
281,482 9th Vis,active,233439,5,3,3712,33.49228441,-112.0150669
282,150 Wall Trl,sold,232274,5,3,2010,33.37086049,-112.1157062
283,570 Walnut Ave,sold,180322,4,1,3888,33.51038018,-112.0110158
284,371 8th Wl,active,143505,4,1,1831,33.51659668,-111.8945507
285,238 3rd Way,sold,184775,3,3,2158,33.43702862,-112.0648817
286,34 Page Wl,pending,122141,5,1,2314,33.5588273,-112.146098
287,358 2nd Rd,sold,112542,2,3,1500,33.44018177,-112.1498458
288,514 Texas Wl,active,231606,3,3,1935,33.55638217,-112.1151746
289,50 4th Pl,active,188966,5,1,3037,33.56747144,-111.9518892
290,427 5th St,active,159290,2,1,1268,33.44035843,-111.9579518
291,205 Euclid Rd,active,292356,4,2,3197,33.5286819,-112.2958858
292,254 5th Pl,pending,201822,4,2,3447,33.43740475,-112.2547459
293,149 Sutter St,active,231912,3,3,2072,33.41812316,-112.3473599
294,87 Bush Vis,active,205265,4,2,1681,33.44768941,-112.2379744
295,167 Post Pl,active,101951,4,2,2005,33.46055038,-112.3424523
296,44 4th Trl,sold,240590,5,1,1247,33.38937382,-112.2179177
297,293 Texas Dv,pending,258321,5,1,2127,33.56625103,-112.2868015
298,727 4th Way,active,288421,2,1,1146,33.5409943,-112.0560082
299,525 California Trl,sold,164375,4,3,3092,33.41556973,-111.9880554
300,633 Page Pl,sold,208981,5,3,3347,33.56830409,-112.1646848
301,419 Blake Wl,active,208397,2,1,1412,33.57455058,-112.0292819
302,593 Wall Blvd,sold,160509,5,2,3891,33.46415518,-112.0906634
303,36 Indiana Cir,pending,147463,5,2,3163,33.58682967,-112.1595653
304,773 California Vis,pending,210516,5,2,2693,33.44385431,-112.0235582
305,316 Bush St,active,216763,3,1,1705,33.38422128,-112.0062751
306,391 Blake St,pending,241210,2,3,2296,33.44657441,-112.0489987
307,261 Sutter Dv,active,293446,4,3,2176,33.43574586,-112.0437417
308,36 Walnut St,sold,192871,3,2,1353,33.37889222,-112.0250555
309,407 3rd St,pending,255740,2,1,2626,33.4278547,-111.9663559
310,734 Turk Cir,sold,147316,5,1,3025,33.57338897,-112.0759676
311,302 3rd Wl,pending,193756,3,2,3186,33.50836149,-111.9344678
312,79 Pine Wl,sold,151451,4,2,2180,33.50746622,-112.2119674
313,229 Blake Pl,pending,253031,2,3,3991,33.49664604,-112.288297
314,436 Bush St,sold,165128,2,3,3394,33.42609675,-112.3064153
315,135 2nd Rd,sold,121542,4,1,2931,33.44055058,-111.9464892
316,630 Franklin Way,active,168984,3,1,1465,33.46686416,-111.9095525
317,78 Post Trl,sold,272628,2,2,1800,33.57592783,-111.9943791
318,657 5th St,pending,244598,3,1,3552,33.37210441,-111.9037335
319,386 Wall Way,active,245399,3,1,3618,33.39254011,-111.8917982
320,160 9th Trl,sold,284771,5,3,1352,33.53830512,-111.881695
321,211 Blake St,sold,274430,2,3,2174,33.58656009,-112.2353569
322,593 Blake Pl,sold,144033,5,1,3272,33.47550995,-112.1393403
323,782 California Way,active,272088,5,1,1201,33.45224232,-112.3474874
324,228 Pine Dv,sold,273222,5,3,1877,33.54966096,-112.2444233
325,59 California Trl,pending,151029,5,3,2847,33.54724673,-112.0705136
326,129 Page Pl,sold,244207,3,1,3869,33.5429747,-112.2603754
327,726 Geary Cir,active,107871,5,3,2395,33.53176025,-112.1243648
328,191 1st Vis,pending,145570,4,3,2500,33.40918332,-112.1067879
329,387 Franklin Cir,pending,166045,4,2,1869,33.5204903,-112.157503
330,87 Walnut Ave,sold,299308,5,2,1564,33.58290043,-112.361149
331,761 9th Rd,pending,144337,3,1,3826,33.45261463,-112.2505046
332,35 Texas Pl,active,280899,2,2,3724,33.43999203,-112.1174016
333,639 7th Cir,pending,210000,2,3,3275,33.56594566,-112.3607722
334,725 1st Vis,sold,203508,3,1,2881,33.46728437,-112.1432709
335,784 Post Wl,pending,135108,5,1,3372,33.52542533,-111.893204
336,704 1st Trl,pending,213663,3,2,3116,33.5744115,-112.0868256
337,80 1st Way,active,283112,2,3,2141,33.55105281,-111.9200975
338,527 Post Pl,pending,282536,2,2,1844,33.37178094,-112.1820107
339,382 Page Trl,sold,270923,4,3,1813,33.57286362,-112.2961657
340,177 5th Pl,pending,276520,5,2,2465,33.4496442,-112.0827523
341,573 3rd Pl,sold,119662,3,3,3558,33.41894996,-112.214015
342,723 9th Blvd,pending,229386,5,2,3709,33.42090026,-112.334204
343,305 Post Vis,sold,282913,2,2,3482,33.42737072,-112.3481711
344,753 Geary Cir,active,245355,4,3,3067,33.37566457,-112.3531234
345,403 Euclid Ave,pending,284286,3,2,2240,33.53031101,-112.1209551
346,599 Sutter Trl,active,238392,3,3,1275,33.4343235,-112.3276314
347,390 Geary Rd,active,184195,4,2,3542,33.3730837,-111.8909325
348,15 1st Trl,pending,127633,2,1,2639,33.36401038,-112.069804
349,607 3rd Wl,pending,248874,4,3,1050,33.48960809,-112.1824124
350,179 2nd Cir,pending,232129,4,1,1165,33.50262507,-112.3270623
351,185 4th Way,pending,276532,5,3,1159,33.44273642,-111.935583
352,519 Turk Rd,sold,144998,3,1,2403,33.58895575,-112.1173781
353,230 Bush Blvd,active,146371,5,2,3116,33.43975486,-112.0068756
354,436 4th Way,sold,163661,3,1,2944,33.4738575,-112.0665045
355,779 2nd Pl,sold,291381,2,1,1513,33.47171918,-112.1877356
356,28 4th Pl,sold,264943,4,1,2922,33.41733446,-111.9577808
357,33 9th Wl,active,150190,3,2,2717,33.38527955,-111.9031205
358,697 Post Blvd,pending,196024,2,2,1702,33.51642484,-111.899331
359,771 Post Rd,sold,297214,4,3,2255,33.43268848,-112.0318917
360,519 7th Pl,active,272258,2,1,2178,33.56980835,-112.1055666
361,519 Walnut Pl,active,278533,3,3,1745,33.55419187,-112.0983762
362,383 1st Dv,sold,124587,2,2,1537,33.42821765,-112.1479881
363,152 Geary Vis,sold,248617,3,3,1261,33.48505833,-112.201968
364,36 Turk Ave,sold,280765,2,2,2616,33.37622645,-111.9209187
365,123 Page Cir,pending,212937,2,1,3010,33.54489349,-112.1562063
366,133 9th Wl,pending,296395,3,3,3128,33.53152923,-112.0380863
367,153 1st Vis,pending,295971,2,3,1727,33.36953726,-111.8863069
368,573 1st Ave,pending,130051,4,2,2208,33.54008903,-112.0262024
369,256 1st Vis,active,130503,5,1,2362,33.55943475,-112.185892
370,221 7th Way,pending,239986,2,2,3248,33.4292825,-111.9607409
371,239 4th Ave,sold,193951,4,2,1601,33.43552034,-112.3529196
372,464 Post Wl,active,113100,2,1,1586,33.51257048,-112.2759396
373,722 Page Way,active,159560,3,1,1078,33.5426763,-112.0980951
374,491 Pine Rd,active,281876,5,1,3943,33.50086617,-111.8777664
375,281 California Dv,pending,202739,3,2,3396,33.42019658,-111.9158724
376,224 5th Blvd,sold,259299,2,3,2802,33.54386224,-111.8787458
377,284 Walnut Vis,pending,148816,3,3,1677,33.59029701,-111.8960694
378,287 Walnut Pl,sold,201818,3,2,3452,33.54339144,-112.2277461
379,120 Wall Vis,active,234557,5,1,1194,33.36220856,-112.2623155
380,587 Walnut Dv,sold,165827,2,1,3475,33.47920556,-112.2743581
381,472 Geary Ave,sold,267079,5,1,1959,33.4183953,-112.1593828
382,208 Indiana Blvd,sold,206370,4,3,2481,33.54276905,-112.1045246
383,152 3rd Dv,active,258993,4,2,1270,33.39396073,-112.1181574
384,588 8th Trl,active,237341,5,3,1947,33.38814575,-111.9603836
385,396 Franklin Ave,pending,268186,5,1,1607,33.46118068,-111.9924108
